1300,0,0,<5,0,0,0,0,0,<5,0,0,<5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
1335,<5,<5,0,0,0,0,0,0,0,<5,<5,0,0,<5,0,0,0,0,<5,0,0,0,0,0,0,0,0
1340,0,0,5,0,0,0,0,0,12,<5,<5,8,0,14,0,<5,0,23,0,0,0,0,0,0,0,0,<5
1355,0,0,<5,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0
1435,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1445,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5
1455,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1465,0,0,<5,0,0,0,0,0,0,0,0,<5,<5,<5,0,0,0,<5,<5,0,0,0,0,0,0,0,<5
1466,<5,0,0,0,0,0,0,0,0,<5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1470,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,<5,0,0,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,<5,0,<5,0,<5,0,0,<5,<5,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5
1485,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1490,0,0,<5,0,<5,0,<5,0,0,<5,<5,<5,0,<5,0,<5,0,5,0,0,0,0,0,0,0,0,<5
1495,0,0,<5,0,0,0,0,0,0,<5,0,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0
1499,0,0,<5,0,0,0,0,0,<5,<5,<5,<5,<5,<5,0,0,0,<5,0,0,0,0,0,0,0,<5,<5
1560,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1565,0,0,<5,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1585,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,0,0,<5,0,0,0,0,0,0,<5,<5,<5,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0
1630,0,0,<5,0,<5,0,<5,0,<5,0,0,0,0,0,0,0,0,<5,<5,0,0,0,0,0,0,0,0
1640,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0
1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0
